match,player_name,goals,assists,shots_on_target,tackles
Opponent 7,Vinícius Júnior,2,2,3,2
Opponent 8,Thibaut Courtois,0,0,0,1
Opponent 8,Dani Carvajal,0,0,1,5
Opponent 8,Éder Militão,0,1,1,8
Opponent 8,Antonio Rüdiger,1,0,2,6
Opponent 8,Ferland Mendy,0,0,1,6
Opponent 8,Aurélien Tchouaméni,0,2,0,6
Opponent 8,Toni Kroos,0,0,0,4
Opponent 8,Federico Valverde,0,0,2,2
Opponent 8,Jude Bellingham,0,0,2,0
Opponent 8,Rodrygo,0,0,4,0
Opponent 8,Vinícius Júnior,0,0,2,2
Opponent 9,Thibaut Courtois,0,0,0,1
Opponent 9,Dani Carvajal,0,0,1,4
Opponent 9,Éder Militão,0,0,2,6
Opponent 9,Antonio Rüdiger,0,0,0,4
Opponent 9,Ferland Mendy,0,0,1,3
Opponent 9,Aurélien Tchouaméni,0,0,0,5
Opponent 9,Toni Kroos,0,0,2,4
Opponent 9,Federico Valverde,0,1,2,4
Opponent 9,Jude Bellingham,1,1,2,2
Opponent 9,Rodrygo,1,1,3,2
Opponent 9,Vinícius Júnior,0,0,2,2
Opponent 10,Thibaut Courtois,0,0,0,0
Opponent 10,Dani Carvajal,0,1,2,6
Opponent 10,Éder Militão,0,0,2,8
Opponent 10,Antonio Rüdiger,1,0,1,7
Opponent 10,Ferland Mendy,0,1,2,4
Opponent 10,Aurélien Tchouaméni,0,1,1,3
Opponent 10,Toni Kroos,0,0,0,2
Opponent 10,Federico Valverde,0,1,3,5
Opponent 10,Jude Bellingham,0,1,1,2
Opponent 10,Rodrygo,1,0,4,1
Opponent 10,Vinícius Júnior,0,0,1,0
Opponent 11,Thibaut Courtois,0,0,0,0
Opponent 11,Dani Carvajal,0,0,2,7
Opponent 11,Éder Militão,0,0,1,8
Opponent 11,Antonio Rüdiger,0,0,2,6
Opponent 11,Ferland Mendy,0,0,2,5
Opponent 11,Aurélien Tchouaméni,0,1,1,2
Opponent 11,Toni Kroos,0,0,3,6
Opponent 11,Federico Valverde,0,0,0,6
Opponent 11,Jude Bellingham,0,0,2,0
Opponent 11,Rodrygo,3,1,7,0
Opponent 11,Vinícius Júnior,0,1,3,1
Opponent 12,Thibaut Courtois,0,0,0,1
Opponent 12,Dani Carvajal,0,0,0,4
Opponent 12,Éder Militão,0,0,1,6
Opponent 12,Antonio Rüdiger,0,0,2,6
Opponent 12,Ferland Mendy,0,0,0,8
Opponent 12,Aurélien Tchouaméni,0,1,0,5
Opponent 12,Toni Kroos,0,0,1,5
Opponent 12,Federico Valverde,1,1,2,2
Opponent 12,Jude Bellingham,1,0,2,0
Opponent 12,Rodrygo,1,0,2,0
Opponent 12,Vinícius Júnior,0,1,2,2
Opponent 13,Thibaut Courtois,0,0,0,0
Opponent 13,Dani Carvajal,0,1,1,6
Opponent 13,Éder Militão,0,0,0,6
Opponent 13,Antonio Rüdiger,0,0,2,4
Opponent 13,Ferland Mendy,1,0,3,8
Opponent 13,Aurélien Tchouaméni,0,0,0,2
Opponent 13,Toni Kroos,1,0,3,3
Opponent 13,Federico Valverde,0,2,0,3
Opponent 13,Jude Bellingham,0,0,2,1
Opponent 13,Rodrygo,0,0,1,0
Opponent 13,Vinícius Júnior,2,0,5,0
Opponent 14,Thibaut Courtois,0,0,0,0
Opponent 14,Dani Carvajal,0,0,0,8
Opponent 14,Éder Militão,0,0,1,3
Opponent 14,Antonio Rüdiger,0,0,1,3
Opponent 14,Ferland Mendy,0,0,0,3
Opponent 14,Aurélien Tchouaméni,0,1,3,4
Opponent 14,Toni Kroos,0,0,2,4
Opponent 14,Federico Valverde,0,3,3,6
Opponent 14,Jude Bellingham,2,1,6,2
Opponent 14,Rodrygo,0,2,1,0
Opponent 14,Vinícius Júnior,1,1,4,2
Opponent 15,Thibaut Courtois,0,0,0,1
Opponent 15,Dani Carvajal,0,0,0,8
Opponent 15,Éder Militão,0,0,2,6
Opponent 15,Antonio Rüdiger,0,0,1,5
Opponent 15,Ferland Mendy,0,0,0,7
Opponent 15,Aurélien Tchouaméni,0,1,1,3
Opponent 15,Toni Kroos,0,0,1,6
Opponent 15,Federico Valverde,0,0,0,6
Opponent 15,Jude Bellingham,0,1,3,2
Opponent 15,Rodrygo,1,0,2,2
Opponent 15,Vinícius Júnior,0,1,1,1
Opponent 16,Thibaut Courtois,0,0,0,0
Opponent 16,Dani Carvajal,0,0,1,3
Opponent 16,Éder Militão,0,0,0,7
Opponent 16,Antonio Rüdiger,0,0,2,8
Opponent 16,Ferland Mendy,0,0,1,8
Opponent 16,Aurélien Tchouaméni,0,0,2,4
Opponent 16,Toni Kroos,0,1,0,6
Opponent 16,Federico Valverde,0,0,3,2
Opponent 16,Jude Bellingham,0,0,2,0
Opponent 16,Rodrygo,1,1,4,2
Opponent 16,Vinícius Júnior,1,1,5,1
Opponent 17,Thibaut Courtois,0,0,0,1
Opponent 17,Dani Carvajal,0,1,0,6
Opponent 17,Éder Militão,0,0,2,8
Opponent 17,Antonio Rüdiger,0,0,2,3
Opponent 17,Ferland Mendy,0,1,0,3
Opponent 17,Aurélien Tchouaméni,0,1,1,2
Opponent 17,Toni Kroos,0,0,3,6
Opponent 17,Federico Valverde,0,0,2,3
Opponent 17,Jude Bellingham,3,1,5,2
Opponent 17,Rodrygo,1,0,5,0
Opponent 17,Vinícius Júnior,0,0,1,1
Opponent 18,Thibaut Courtois,0,0,0,0
Opponent 18,Dani Carvajal,0,0,1,7
Opponent 18,Éder Militão,0,0,0,7
Opponent 18,Antonio Rüdiger,0,0,0,4
Opponent 18,Ferland Mendy,0,1,0,7
Opponent 18,Aurélien Tchouaméni,0,2,0,4
Opponent 18,Toni Kroos,0,2,1,4
Opponent 18,Federico Valverde,0,2,0,6
Opponent 18,Jude Bellingham,0,0,2,0
Opponent 18,Rodrygo,2,1,6,0
Opponent 18,Vinícius Júnior,1,1,2,0
Opponent 19,Thibaut Courtois,0,0,0,1
Opponent 19,Dani Carvajal,0,1,1,8
Opponent 19,Éder Militão,0,0,2,7
Opponent 19,Antonio Rüdiger,0,0,2,4
Opponent 19,Ferland Mendy,0,1,2,6
Opponent 19,Aurélien Tchouaméni,0,0,1,3
Opponent 19,Toni Kroos,1,1,4,3
Opponent 19,Federico Valverde,0,0,3,3
Opponent 19,Jude Bellingham,0,0,1,2
Opponent 19,Rodrygo,1,1,4,2
Opponent 19,Vinícius Júnior,1,0,3,0
Opponent 20,Thibaut Courtois,0,0,0,0
Opponent 20,Dani Carvajal,0,0,0,3
Opponent 20,Éder Militão,0,0,1,5
Opponent 20,Antonio Rüdiger,0,0,1,6
Opponent 20,Ferland Mendy,0,0,2,4
Opponent 20,Aurélien Tchouaméni,0,0,1,3
Opponent 20,Toni Kroos,0,1,0,6
Opponent 20,Federico Valverde,0,2,0,6
Opponent 20,Jude Bellingham,0,0,2,0
Opponent 20,Rodrygo,0,0,3,1
Opponent 20,Vinícius Júnior,0,1,1,2
Opponent 21,Thibaut Courtois,0,0,0,0
Opponent 21,Dani Carvajal,0,0,2,7
Opponent 21,Éder Militão,0,1,2,4
Opponent 21,Antonio Rüdiger,0,0,0,3
Opponent 21,Ferland Mendy,0,0,0,4
Opponent 21,Aurélien Tchouaméni,0,0,0,5
Opponent 21,Toni Kroos,0,0,0,4
Opponent 21,Federico Valverde,0,1,1,6
Opponent 21,Jude Bellingham,0,1,1,2
Opponent 21,Rodrygo,1,0,5,0
Opponent 21,Vinícius Júnior,3,0,4,1
Opponent 22,Thibaut Courtois,0,0,0,0
Opponent 22,Dani Carvajal,0,0,0,3
Opponent 22,Éder Militão,0,0,0,7
Opponent 22,Antonio Rüdiger,0,0,1,8
Opponent 22,Ferland Mendy,0,0,2,5
Opponent 22,Aurélien Tchouaméni,0,2,2,4
Opponent 22,Toni Kroos,0,0,3,4
Opponent 22,Federico Valverde,1,0,3,2
Opponent 22,Jude Bellingham,0,0,3,2
Opponent 22,Rodrygo,2,1,6,2
Opponent 22,Vinícius Júnior,0,2,4,0
Opponent 23,Thibaut Courtois,0,0,0,1
Opponent 23,Dani Carvajal,0,0,0,5
Opponent 23,Éder Militão,0,0,1,3
Opponent 23,Antonio Rüdiger,0,1,2,4
Opponent 23,Ferland Mendy,0,1,1,8
Opponent 23,Aurélien Tchouaméni,1,1,3,6
Opponent 23,Toni Kroos,0,1,3,2
Opponent 23,Federico Valverde,1,0,4,2
Opponent 23,Jude Bellingham,2,1,5,2
Opponent 23,Rodrygo,0,0,4,0
Opponent 23,Vinícius Júnior,3,0,6,1
Opponent 24,Thibaut Courtois,0,0,0,1
Opponent 24,Dani Carvajal,0,1,2,6
Opponent 24,Éder Militão,0,0,2,5
Opponent 24,Antonio Rüdiger,0,0,1,3
Opponent 24,Ferland Mendy,0,0,0,3
Opponent 24,Aurélien Tchouaméni,0,0,1,5
Opponent 24,Toni Kroos,0,2,1,4
Opponent 24,Federico Valverde,0,0,1,6
Opponent 24,Jude Bellingham,1,2,5,0
Opponent 24,Rodrygo,2,2,4,2
Opponent 24,Vinícius Júnior,1,0,5,1
Opponent 25,Thibaut Courtois,0,0,0,0
Opponent 25,Dani Carvajal,0,0,1,5
Opponent 25,Éder Militão,0,1,2,6
Opponent 25,Antonio Rüdiger,0,0,0,4
Opponent 25,Ferland Mendy,0,0,0,6
Opponent 25,Aurélien Tchouaméni,0,1,3,2
Opponent 25,Toni Kroos,0,0,3,4
Opponent 25,Federico Valverde,0,1,2,4
Opponent 25,Jude Bellingham,0,0,3,0
Opponent 25,Rodrygo,1,1,3,1
Opponent 25,Vinícius Júnior,2,0,4,2
Opponent 26,Thibaut Courtois,0,0,0,0
Opponent 26,Dani Carvajal,0,0,2,4
Opponent 26,Éder Militão,1,0,3,3
Opponent 26,Antonio Rüdiger,0,1,1,3
Opponent 26,Ferland Mendy,0,0,2,8
Opponent 26,Aurélien Tchouaméni,0,3,2,6
Opponent 26,Toni Kroos,2,3,4,3
Opponent 26,Federico Valverde,0,3,2,5
Opponent 26,Jude Bellingham,0,0,1,2
Opponent 26,Rodrygo,0,2,4,0
Opponent 26,Vinícius Júnior,1,1,5,2
Opponent 27,Thibaut Courtois,0,0,0,1
Opponent 27,Dani Carvajal,0,0,1,6
Opponent 27,Éder Militão,0,0,0,3
Opponent 27,Antonio Rüdiger,0,0,1,6
Opponent 27,Ferland Mendy,0,0,0,3
Opponent 27,Aurélien Tchouaméni,0,2,1,3
Opponent 27,Toni Kroos,0,0,0,6
Opponent 27,Federico Valverde,0,1,0,5
Opponent 27,Jude Bellingham,0,0,3,1
Opponent 27,Rodrygo,0,0,4,0
Opponent 27,Vinícius Júnior,0,0,1,0
Opponent 28,Thibaut Courtois,0,0,0,1
Opponent 28,Dani Carvajal,0,0,2,3
Opponent 28,Éder Militão,0,0,0,8
Opponent 28,Antonio Rüdiger,0,1,1,5
Opponent 28,Ferland Mendy,0,0,1,3
Opponent 28,Aurélien Tchouaméni,0,0,1,5
Opponent 28,Toni Kroos,0,0,0,6
Opponent 28,Federico Valverde,0,0,2,3
Opponent 28,Jude Bellingham,0,2,3,1
Opponent 28,Rodrygo,0,0,4,2
Opponent 28,Vinícius Júnior,0,1,1,0
Opponent 29,Thibaut Courtois,0,0,0,0
Opponent 29,Dani Carvajal,0,1,1,7
Opponent 29,Éder Militão,0,0,2,8
Opponent 29,Antonio Rüdiger,0,0,0,6
Opponent 29,Ferland Mendy,0,0,0,5
Opponent 29,Aurélien Tchouaméni,1,0,2,3
Opponent 29,Toni Kroos,0,2,3,6
Opponent 29,Federico Valverde,0,0,3,2
Opponent 29,Jude Bellingham,2,2,3,1
Opponent 29,Rodrygo,0,0,4,0
Opponent 29,Vinícius Júnior,2,1,5,2
Opponent 30,Thibaut Courtois,0,0,0,1
Opponent 30,Dani Carvajal,0,0,1,8
Opponent 30,Éder Militão,0,0,1,8
Opponent 30,Antonio Rüdiger,0,0,2,3
Opponent 30,Ferland Mendy,0,0,1,4
Opponent 30,Aurélien Tchouaméni,0,2,1,6
Opponent 30,Toni Kroos,1,0,2,2
Opponent 30,Federico Valverde,2,1,2,5
Opponent 30,Jude Bellingham,2,1,6,2
Opponent 30,Rodrygo,0,0,2,2
Opponent 30,Vinícius Júnior,0,0,3,0
Opponent 31,Thibaut Courtois,0,0,0,0
Opponent 31,Dani Carvajal,0,0,1,5
Opponent 31,Éder Militão,0,0,2,6
Opponent 31,Antonio Rüdiger,0,0,2,4
Opponent 31,Ferland Mendy,0,0,0,4
Opponent 31,Aurélien Tchouaméni,0,1,3,2
Opponent 31,Toni Kroos,0,1,0,4
Opponent 31,Federico Valverde,0,0,1,3
Opponent 31,Jude Bellingham,0,1,3,1
Opponent 31,Rodrygo,0,0,1,0
Opponent 31,Vinícius Júnior,0,0,3,2
Opponent 32,Thibaut Courtois,0,0,0,0
Opponent 32,Dani Carvajal,0,1,0,7
Opponent 32,Éder Militão,0,0,0,4
Opponent 32,Antonio Rüdiger,1,0,3,8
Opponent 32,Ferland Mendy,0,0,1,4
Opponent 32,Aurélien Tchouaméni,1,1,3,6
Opponent 32,Toni Kroos,0,2,2,5
Opponent 32,Federico Valverde,0,0,2,5
Opponent 32,Jude Bellingham,0,1,1,1
Opponent 32,Rodrygo,2,1,3,2
Opponent 32,Vinícius Júnior,1,2,2,0
Opponent 33,Thibaut Courtois,0,0,0,0
Opponent 33,Dani Carvajal,0,0,2,8
Opponent 33,Éder Militão,0,1,2,5
Opponent 33,Antonio Rüdiger,0,0,0,6
Opponent 33,Ferland Mendy,0,1,1,3
Opponent 33,Aurélien Tchouaméni,0,1,2,5
Opponent 33,Toni Kroos,0,0,2,4
Opponent 33,Federico Valverde,0,1,1,2
Opponent 33,Jude Bellingham,1,2,2,2
Opponent 33,Rodrygo,0,0,4,2
Opponent 33,Vinícius Júnior,1,1,4,0
Opponent 34,Thibaut Courtois,0,0,0,1
Opponent 34,Dani Carvajal,0,0,1,6
Opponent 34,Éder Militão,0,0,1,8
Opponent 34,Antonio Rüdiger,0,0,2,6
Opponent 34,Ferland Mendy,0,0,2,5
Opponent 34,Aurélien Tchouaméni,0,0,1,4
Opponent 34,Toni Kroos,0,3,0,4
Opponent 34,Federico Valverde,0,3,2,2
Opponent 34,Jude Bellingham,1,1,4,1
Opponent 34,Rodrygo,2,0,4,1
Opponent 34,Vinícius Júnior,1,0,5,1
Opponent 35,Thibaut Courtois,0,0,0,0
Opponent 35,Dani Carvajal,0,0,0,8
Opponent 35,Éder Militão,0,0,2,3
Opponent 35,Antonio Rüdiger,0,0,0,8
Opponent 35,Ferland Mendy,0,0,0,4
Opponent 35,Aurélien Tchouaméni,1,0,1,4
Opponent 35,Toni Kroos,0,1,0,3
Opponent 35,Federico Valverde,0,2,1,5
Opponent 35,Jude Bellingham,1,0,5,2
Opponent 35,Rodrygo,0,0,2,1
Opponent 35,Vinícius Júnior,0,0,3,2
Opponent 36,Thibaut Courtois,0,0,0,1
Opponent 36,Dani Carvajal,0,0,2,7
Opponent 36,Éder Militão,0,0,0,8
Opponent 36,Antonio Rüdiger,0,1,0,8
Opponent 36,Ferland Mendy,0,1,2,8
Opponent 36,Aurélien Tchouaméni,0,1,1,4
Opponent 36,Toni Kroos,0,0,1,2
Opponent 36,Federico Valverde,0,0,3,2
Opponent 36,Jude Bellingham,2,0,6,1
Opponent 36,Rodrygo,0,0,2,2
Opponent 36,Vinícius Júnior,2,0,3,0
Opponent 37,Thibaut Courtois,0,0,0,1
Opponent 37,Dani Carvajal,0,0,0,7
Opponent 37,Éder Militão,0,0,1,3
Opponent 37,Antonio Rüdiger,0,0,1,6
Opponent 37,Ferland Mendy,0,0,1,5
Opponent 37,Aurélien Tchouaméni,0,1,2,2
Opponent 37,Toni Kroos,2,1,3,5
Opponent 37,Federico Valverde,2,1,2,6
Opponent 37,Jude Bellingham,1,2,2,0
Opponent 37,Rodrygo,1,2,5,2
Opponent 37,Vinícius Júnior,0,0,3,2
Opponent 38,Thibaut Courtois,0,0,0,1
Opponent 38,Dani Carvajal,0,0,2,7
Opponent 38,Éder Militão,0,0,0,8
Opponent 38,Antonio Rüdiger,0,0,2,4
Opponent 38,Ferland Mendy,0,0,1,4
Opponent 38,Aurélien Tchouaméni,0,0,3,4
Opponent 38,Toni Kroos,0,1,2,2
Opponent 38,Federico Valverde,1,1,1,6
Opponent 38,Jude Bellingham,0,0,1,1
Opponent 38,Rodrygo,0,0,4,2
Opponent 38,Vinícius Júnior,2,0,6,1
